ppt,block,trial,lcol,rcol,sim,rt
10,2,6,6,1,6,2.99
10,2,7,4,8,4,1.698
10,2,8,2,8,3,2.459
10,2,9,6,8,8,1.257
10,2,10,3,5,8,1.105
10,2,11,7,5,8,0.793
10,2,12,2,3,2,1.292
10,2,13,2,6,2,1.118
10,2,14,4,1,3,1.132
10,2,15,5,4,4,1.089
10,2,16,7,2,2,2.134
10,2,17,4,2,6,2.401
10,2,18,1,3,9,1.012
10,2,19,3,8,7,3.009
10,2,20,1,8,7,1.278
10,2,21,3,4,5,1.037
10,2,22,3,7,9,1.245
10,2,23,3,1,9,1.134
10,2,24,5,6,7,1.615
10,2,25,6,5,6,1.68
10,2,26,6,4,3,1.075
10,2,27,7,8,8,1.028
10,2,28,8,5,5,2.535
10,2,29,3,6,7,1.739
10,2,30,7,3,5,1.229
10,2,31,7,1,7,1.184
10,2,32,5,1,7,1.07
10,2,33,6,2,2,3.971
10,2,34,7,4,5,2.847
10,2,35,4,7,4,1.371
10,2,36,2,5,3,0.928
10,2,37,4,5,3,0.838
10,2,38,8,4,7,1.382
10,2,39,1,6,8,1.106
10,2,40,8,6,9,1.478
10,2,41,4,3,6,1.367
10,2,42,1,2,2,1.147
10,2,43,2,1,4,1.213
10,2,44,3,2,2,1.134
10,2,45,1,7,9,0.949
10,2,46,2,4,3,0.868
10,2,47,2,7,3,1.073
10,2,48,8,1,8,1.475
10,2,49,4,6,2,1.021
10,2,50,1,4,3,0.979
10,2,51,5,7,8,1.059
10,2,52,7,6,7,1.009
10,2,53,6,7,7,0.841
10,2,54,8,2,2,1.745
10,2,55,8,7,8,1.068
10,2,56,1,5,8,0.763
11,1,1,2,8,4,7.198
11,1,2,7,2,4,1.539
11,1,3,4,6,6,1.948
11,1,4,5,8,7,3.02
11,1,5,3,6,6,1.838
11,1,6,8,6,7,1.526
11,1,7,4,2,4,4.441
11,1,8,7,3,7,1.742
11,1,9,8,2,4,1.724
11,1,10,3,7,7,1.246
11,1,11,1,5,7,1.06
11,1,12,5,6,8,1.496
11,1,13,7,1,4,4.051
11,1,14,3,1,7,1.948
11,1,15,7,4,4,2.629
11,1,16,8,7,7,1.587
11,1,17,2,5,4,1.85
11,1,18,3,8,6,1.648
11,1,19,8,1,6,3.006
11,1,20,1,7,5,2.916
11,1,21,2,6,5,1.37
11,1,22,4,7,6,1.635
11,1,23,6,4,5,1.492
11,1,24,2,3,4,4.223
11,1,25,2,1,6,2.338
11,1,26,5,1,7,1.664
11,1,27,5,3,7,1.34
11,1,28,1,2,4,1.761
11,1,29,6,7,7,1.728
11,1,30,8,3,7,2.242
11,1,31,6,5,7,1.416
11,1,32,4,8,5,3.756
11,1,33,1,6,6,1.928
11,1,34,6,2,4,3.522
11,1,35,3,2,4,4.283
11,1,36,1,3,9,2.489
11,1,37,7,8,8,1.371
11,1,38,1,8,4,1.945
11,1,39,4,1,6,1.366
11,1,40,1,4,7,1.913
