cond,subj,blk,trial,triad,resp,rt,left1,mid2,right3
1,20,6,2,2,3,233,1,7,3
1,20,6,3,10,3,463,5,7,1
1,20,6,4,17,2,245,8,2,4
1,20,6,5,30,1,246,3,2,1
1,20,6,6,36,2,365,4,2,1
1,20,6,7,20,3,115,2,8,6
1,20,6,8,43,3,145,6,7,8
1,20,7,1,19,3,414,2,6,8
1,20,7,2,47,2,181,8,6,7
1,20,7,3,28,1,397,2,3,1
1,20,7,4,38,3,211,5,8,7
1,20,7,5,9,2,297,5,1,7
1,20,7,6,15,1,65,4,2,8
1,20,7,7,34,3,137,2,4,1
1,20,7,8,5,2,462,7,1,3
1,20,8,1,42,3,171,8,7,5
1,20,8,2,21,2,282,6,2,8
1,20,8,3,6,3,369,7,3,1
1,20,8,4,26,2,148,1,3,2
1,20,8,5,35,2,488,4,1,2
1,20,8,6,11,3,193,7,1,5
1,20,8,7,13,2,18,2,4,8
1,20,8,8,46,3,44,7,8,6
1,20,9,1,3,2,76,3,1,7
1,20,9,2,14,3,47,2,8,4
1,20,9,3,10,2,156,5,7,1
1,20,9,4,39,2,1125,7,5,8
1,20,9,5,20,2,735,2,8,6
1,20,9,6,33,1,602,2,1,4
1,20,9,7,45,1,87,7,6,8
1,20,9,8,30,3,147,3,2,1
1,20,10,1,1,3,284,1,3,7
1,20,10,2,40,3,67,7,8,5
1,20,10,3,24,2,212,8,6,2
1,20,10,4,32,3,33,1,4,2
1,20,10,5,16,3,289,4,8,2
1,20,10,6,44,3,329,6,8,7
1,20,10,7,25,3,9,1,2,3
1,20,10,8,7,3,232,1,5,7
1,20,11,1,17,2,179,8,2,4
1,20,11,2,8,2,142,1,7,5
1,20,11,3,29,3,180,3,1,2
1,20,11,4,48,2,18,8,7,6
1,20,11,5,4,1,249,3,7,1
1,20,11,6,41,2,52,8,5,7
1,20,11,7,23,3,198,8,2,6
1,20,11,8,36,2,193,4,2,1
1,20,12,1,2,3,83,1,7,3
1,20,12,2,27,3,52,2,1,3
1,20,12,3,22,1,81,6,8,2
1,20,12,4,18,3,143,8,4,2
1,20,12,5,31,1,644,1,2,4
1,20,12,6,43,3,210,6,7,8
1,20,12,7,12,2,181,7,5,1
1,20,12,8,37,3,186,5,7,8
1,22,1,1,18,1,801,8,4,2
1,22,1,2,31,2,2141,1,2,4
1,22,1,3,24,1,979,8,6,2
1,22,1,4,30,2,769,3,2,1
1,22,1,5,7,1,720,1,5,7
1,22,1,6,39,3,505,7,5,8
1,22,1,7,6,3,877,7,3,1
1,22,1,8,47,1,480,8,6,7
1,22,2,1,4,1,725,3,7,1
1,22,2,2,32,3,940,1,4,2
1,22,2,3,20,1,451,2,8,6
1,22,2,4,48,1,534,8,7,6
1,22,2,5,38,2,582,5,8,7
1,22,2,6,10,3,894,5,7,1
1,22,2,7,17,2,619,8,2,4
1,22,2,8,25,1,1176,1,2,3
1,22,3,1,44,2,762,6,8,7
1,22,3,2,21,2,824,6,2,8
1,22,3,3,33,1,657,2,1,4
1,22,3,4,41,1,481,8,5,7
1,22,3,5,15,2,664,4,2,8
1,22,3,6,27,1,537,2,1,3
1,22,3,7,1,1,962,1,3,7
1,22,3,8,8,2,798,1,7,5
1,22,4,1,46,2,581,7,8,6
1,22,4,2,3,1,475,3,1,7
1,22,4,3,22,2,633,6,8,2
1,22,4,4,14,2,786,2,8,4
1,22,4,5,35,3,925,4,1,2
1,22,4,6,29,3,690,3,1,2
1,22,4,7,9,2,1018,5,1,7
1,22,4,8,40,2,563,7,8,5
1,22,5,1,36,2,497,4,2,1
1,22,5,2,45,3,487,7,6,8
1,22,5,3,16,2,500,4,8,2
1,22,5,4,42,1,484,8,7,5
1,22,5,5,26,3,442,1,3,2
1,22,5,6,12,3,940,7,5,1
1,22,5,7,23,2,460,8,2,6
1,22,5,8,5,1,1189,7,1,3
1,22,6,1,28,1,493,2,3,1
1,22,6,2,43,3,514,6,7,8
1,22,6,3,11,2,713,7,1,5
1,22,6,4,37,3,472,5,7,8
1,22,6,5,19,1,424,2,6,8
1,22,6,6,34,1,994,2,4,1
1,22,6,7,13,1,461,2,4,8
1,22,6,8,2,1,541,1,7,3
1,22,7,1,17,2,566,8,2,4
1,22,7,2,4,3,1115,3,7,1
1,22,7,3,38,2,526,5,8,7
1,22,7,4,8,1,461,1,7,5
1,22,7,5,26,3,463,1,3,2
1,22,7,6,21,2,481,6,2,8
1,22,7,7,36,3,972,4,2,1
1,22,7,8,48,1,484,8,7,6
1,22,8,1,12,3,488,7,5,1
1,22,8,2,40,2,430,7,8,5
1,22,8,3,30,2,503,3,2,1
1,22,8,4,13,1,461,2,4,8
1,22,8,5,45,3,748,7,6,8
1,22,8,6,1,1,512,1,3,7
1,22,8,7,32,3,646,1,4,2
1,22,8,8,24,3,479,8,6,2
1,22,9,1,9,2,646,5,1,7
1,22,9,2,3,2,544,3,1,7
1,22,9,3,16,3,581,4,8,2
1,22,9,4,42,1,536,8,7,5
1,22,9,5,47,1,505,8,6,7
1,22,9,6,31,1,657,1,2,4
1,22,9,7,25,1,509,1,2,3
1,22,9,8,20,2,622,2,8,6
1,22,10,1,10,3,497,5,7,1
1,22,10,2,39,3,480,7,5,8
1,22,10,3,46,2,442,7,8,6
1,22,10,4,35,3,906,4,1,2
1,22,10,5,22,3,498,6,8,2
1,22,10,6,28,1,513,2,3,1
1,22,10,7,14,2,1297,2,8,4
1,22,10,8,6,3,566,7,3,1
1,22,11,1,43,3,444,6,7,8
1,22,11,2,41,1,413,8,5,7
1,22,11,3,18,1,856,8,4,2
1,22,11,4,27,1,564,2,1,3
1,22,11,5,11,2,520,7,1,5
1,22,11,6,34,3,502,2,4,1
1,22,11,7,23,2,501,8,2,6
1,22,11,8,2,1,467,1,7,3
1,22,12,1,7,1,446,1,5,7
1,22,12,2,15,2,454,4,2,8
1,22,12,3,37,3,446,5,7,8
1,22,12,4,5,2,912,7,1,3
1,22,12,5,29,3,500,3,1,2
1,22,12,6,19,1,427,2,6,8
1,22,12,7,44,2,525,6,8,7
1,22,12,8,33,1,763,2,1,4
1,23,1,1,26,3,1422,1,3,2
1,23,1,2,44,3,1094,6,8,7
1,23,1,3,23,2,1162,8,2,6
1,23,1,4,8,1,2180,1,7,5
1,23,1,5,32,1,1420,1,4,2
1,23,1,6,5,1,731,7,1,3
1,23,1,7,38,2,1250,5,8,7
1,23,1,8,18,1,1167,8,4,2
1,23,2,1,4,2,692,3,7,1
1,23,2,2,40,2,620,7,8,5
1,23,2,3,12,1,1290,7,5,1
1,23,2,4,47,1,1429,8,6,7
1,23,2,5,13,3,1112,2,4,8
1,23,2,6,22,3,1275,6,8,2
1,23,2,7,30,2,721,3,2,1
1,23,2,8,34,1,505,2,4,1
1,23,3,1,1,3,827,1,3,7
1,23,3,2,36,3,903,4,2,1
1,23,3,3,14,2,749,2,8,4
1,23,3,4,9,3,683,5,1,7
1,23,3,5,20,2,1428,2,8,6
1,23,3,6,48,2,597,8,7,6
1,23,3,7,41,3,640,8,5,7
1,23,3,8,28,3,969,2,3,1
1,23,4,1,10,2,892,5,7,1
1,23,4,2,25,2,552,1,2,3
1,23,4,3,42,2,542,8,7,5
1,23,4,4,31,2,610,1,2,4
1,23,4,5,17,2,619,8,2,4
1,23,4,6,3,3,751,3,1,7
1,23,4,7,45,1,683,7,6,8
1,23,4,8,21,1,1076,6,2,8
1,23,5,1,11,1,609,7,1,5
1,23,5,2,29,3,399,3,1,2
1,23,5,3,24,3,621,8,6,2
1,23,5,4,46,2,676,7,8,6
1,23,5,5,6,1,838,7,3,1
1,23,5,6,35,3,536,4,1,2
1,23,5,7,37,3,614,5,7,8
1,23,5,8,15,3,644,4,2,8
1,23,6,1,27,1,533,2,1,3
1,23,6,2,43,3,781,6,7,8
1,23,6,3,2,2,579,1,7,3
1,23,6,4,19,3,1120,2,6,8
1,23,6,5,16,3,378,4,8,2
1,23,6,6,33,1,645,2,1,4
1,23,6,7,39,3,594,7,5,8
1,23,6,8,7,3,584,1,5,7
1,23,7,1,23,2,610,8,2,6
1,23,7,2,31,2,466,1,2,4
1,23,7,3,26,3,389,1,3,2
1,23,7,4,18,3,501,8,4,2
1,23,7,5,42,1,563,8,7,5
1,23,7,6,11,3,470,7,1,5
1,23,7,7,48,2,594,8,7,6
1,23,7,8,1,3,363,1,3,7
1,23,8,1,7,3,419,1,5,7
1,23,8,2,20,1,384,2,8,6
1,23,8,3,16,3,302,4,8,2
1,23,8,4,36,2,475,4,2,1
1,23,8,5,6,1,737,7,3,1
1,23,8,6,30,2,339,3,2,1
1,23,8,7,45,1,715,7,6,8
1,23,8,8,40,3,479,7,8,5
1,23,9,1,19,1,816,2,6,8
1,23,9,2,14,1,343,2,8,4
1,23,9,3,47,3,608,8,6,7
1,23,9,4,29,3,336,3,1,2
